//    index   mass     sigma   epsilon
H       1    1.0079   1.32    0.000954       // HA - Charmm (eps = 0.022 kcal/mol)
He      2    4.0026   2.8     0.00088
Li      3    6.941    2.4     0.04
C       6   12.0107   2.0     0.0030354      // CA - Charmm (eps = 0.07  kcal/mol)
N       7   14.0067   1.85    0.0086728      // N  - Charmm (eps = 0.2   kcal/mol)
O       8   15.9994   1.7     0.0052036      // O  - Charmm (eps = 0.12  kcal/mol)
F       9   18.9984   2.83    0.0045
Ne     10   20.1797   2.72    0.00405
Na     11   22.9898   2.8     0.05           //xie
Mg     12   24.3050   2.8     0.05           //xie
Al     13   26.9815   2.6     0.242          //xie
Si     14   28.0855   2.4     0.01           //xie
P      15   30.97376  2.15    0.025368       // P  - Charmm (eps = 0.585 kcal/mol)
S      16   32.065    2.0     0.0195138      // S  - Charmm (eps = 0.45  kcal/mol)
Cl     17   35.453    3.35    0.0149
Ar     18   39.948    3.405   0.01
K      19   39.0983   3.0     0.05           //xie
Ca     20   40.078    2.62    0.53           //xie
Sc     21   44.95591  2.9     0.5            //xie
Ti     22   47.867    2.62    0.53           //xie
V      23   50.9415   2.62    0.53           //xie
Cr     24   51.9961   2.5     0.41           //xie
Fe     26   55.845    2.3     0.38           //xie
Co     27   58.9332   2.3     0.32           //xie
Ni     28   58.6934   2.3     0.32           //xie
Cu     29   63.546    2.3377  0.4093
Zn     30   65.409    2.45    0.4            //xie
Br     35   79.904    3.54    0.022
Kr     36   83.798    3.83    0.014
Rb     37   85.4678   3.2     0.1            //xie
Nb     41   92.90638  2.86    0.76           //xie
Mo     42   95.94     2.73    0.68           //xie
Pd     46  106.42     2.45    0.28           //xie
Ag     47  107.8682   2.66    0.325          //xie
Xe     54  131.293    4.0     0.02           //xie
Cs     55  132.90545  3.5     0.5            //xie
Ta     73  180.9479   2.86    0.81           //xie
W      74  183.84     2.74    0.89           //xie
Pt     78  195.078    2.5     0.42           //xie
Au     79  196.96655  2.65    0.1            //xie (?)
