// name                 file
Adenine                adenine.xyz
Alanine                alanine.xyz
Arginine               arginine.xyz
Asparagine             asparagine.xyz
Aspartic-Acid          asparticacid.xyz
Ammonia                nh3.xyz
Benzene                benzene.xyz
Butadiene              butadiene.xyz
Butane                 butane.xyz
Cyclobutane            cyclobutane.xyz
Cyclohexane            cyclohexane.xyz
Cyclopropane           cyclopropane.xyz
Cysteine               cysteine.xyz
Cytosine               cytosine.xyz
Ethane                 ethane.xyz
Ethanol                ethanol.xyz
Ethylene               ethylene.xyz
Fullerene(C60)         c60.xyz
Glutamic-Acid          glutamicacid.xyz
Glutamine              glutamine.xyz
Glycine                glycine.xyz
Graphene               graphene.xyz
Guanine                guanine.xyz
Heptane                heptane.xyz
Hexane                 hexane.xyz
Histidine              histidine.xyz
Isoleucine             isoleucine.xyz
Leucine                leucine.xyz
Lysine                 lysine.xyz
Methane                methane.xyz
Methionine             methionine.xyz
Nanotube               nanotube.xyz
Octane                 octane.xyz
Pentane                pentane.xyz
Phenylalanine          phenylalanine.xyz
Proline                proline.xyz
Propane                propane.xyz
Serine                 serine.xyz
Threonine              threonine.xyz
Thymine                thymine.xyz
Tryptophan             tryptophan.xyz
Tyrosine               tyrosine.xyz
Uracil                 uracil.xyz
Valine                 valine.xyz
Water                  water.xyz
