// name       type        nx    ny    nz     a       b       c        alpha     beta     gamma
class: Inert Gases
He            FCC         4     4     4      4.0     4.0     4.0      90        90       90
Ne            FCC         4     4     4      4.429   4.429   4.429    90        90       90
Ar            FCC         4     4     4      5.256   5.256   5.256    90        90       90
Kr            FCC         4     4     4      5.706   5.706   5.706    90        90       90
Xe            FCC         8     4     4      6.2023  6.2023  6.2023   90        90       90
class: Metals and Intermetallics
Al            FCC         4     4     4      4.0495  4.0495  4.0495   90        90       90
Ni            FCC         4     4     4      3.524   3.524   3.524    90        90       90
Pd            FCC         4     4     4      3.89    3.89    3.89     90        90       90
Pt            FCC         4     4     4      3.924   3.924   3.924    90        90       90
Cu            FCC         4     4     4      3.61    3.61    3.61     90        90       90
Ag            FCC         8     4     4      4.09    4.09    4.09     90        90       90
Au            FCC         4     4     4      4.08    4.08    4.08     90        90       90
Mg            HCP         6     6     4      3.2094  3.2094  5.2108   90        90       120
Sc            HCP         6     6     4      3.309   3.309   5.2733   90        90       120
Ti            HCP         6     6     4      2.9508  2.9508  4.6855   90        90       120
Co            HCP         6     6     4      2.5071  2.5071  4.0695   90        90       120
Zn            HCP         6     6     4      2.665   2.665   4.947    90        90       120
Fe            BCC         5     5     5      2.87    2.87    2.87     90        90       90
Cu:Au         A3B(L12)    4     4     4      4.0     4.0     4.0      90        90       90
Au:Cu         A3B(L12)    4     4     4      3.7     3.7     3.7      90        90       90
class: Ionic Crystals
Li:Cl         NACL        3     3     3      5.114   5.114   5.114    90        90       90
Na:Cl         NACL        3     3     3      5.64    5.64    5.64     90        90       90
K:Cl          NACL        3     3     3      6.294   6.294   6.294    90        90       90
Rb:Cl         NACL        3     3     3      6.582   6.582   6.582    90        90       90
Cs:Cl         CSCL        4     4     4      4.123   4.123   4.123    90        90       90
class: Others
C             DIAMOND     3     3     3      3.57    3.57    3.57     90        90       90
Zn:S          ZNS         3     3     3      5.41    5.41    5.41     90        90       90
Ca:F          CAF2        3     3     3      5.0     5.0     5.0      90        90       90
Ca:Ti:O       CATIO3      4     4     4      6.5     6.5     6.5      90        90       90
